 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                nb105         nb106         nb107         nb108         nb109         nb110         nb111         nb112
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      3  1.100000000000E-15  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      4  1.110000000000E-14  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      5  1.111000000000E-13  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      6  1.111100000000E-12  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      7  1.111110000000E-11  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      8  1.111111000000E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      9  1.111111100000E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     10  1.111111110000E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     11  4.567476566510E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     12  1.658089127914E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000001E-30  1.000001E-30  1.000001E-30
     13  4.445546741016E-07  1.000000E-30  1.000001E-30  1.000001E-30  1.000000E-30  1.000001E-30  1.000002E-30  1.000003E-30  1.000004E-30
     14  1.066239799837E-06  1.000001E-30  1.000001E-30  1.000003E-30  1.000000E-30  1.000001E-30  1.000005E-30  1.000008E-30  1.000009E-30
     15  2.222704079044E-06  1.000002E-30  1.000003E-30  1.000006E-30  1.000001E-30  1.000003E-30  1.000010E-30  1.000017E-30  1.000018E-30
     16  4.298102471270E-06  1.000004E-30  1.000005E-30  1.000011E-30  1.000001E-30  1.000005E-30  1.000019E-30  1.000033E-30  1.000035E-30
     17  7.691889062333E-06  1.000007E-30  1.000009E-30  1.000019E-30  1.000002E-30  1.000009E-30  1.000034E-30  1.000059E-30  1.000062E-30
     18  1.308909950745E-05  1.000012E-30  1.000015E-30  1.000033E-30  1.000003E-30  1.000016E-30  1.000058E-30  1.000100E-30  1.000106E-30
     19  1.857566740576E-05  1.000017E-30  1.000021E-30  1.000047E-30  1.000005E-30  1.000023E-30  1.000083E-30  1.000142E-30  1.000151E-30
     20  2.437304006798E-05  1.000022E-30  1.000028E-30  1.000061E-30  1.000006E-30  1.000030E-30  1.000108E-30  1.000186E-30  1.000198E-30
     21  3.062636084650E-05  1.000028E-30  1.000035E-30  1.000077E-30  1.000008E-30  1.000037E-30  1.000136E-30  1.000234E-30  1.000249E-30
     22  3.755179443036E-05  1.000035E-30  1.000043E-30  1.000095E-30  1.000010E-30  1.000046E-30  1.000167E-30  1.000287E-30  1.000305E-30
     23  4.608652240190E-05  1.000042E-30  1.000053E-30  1.000116E-30  1.000012E-30  1.000056E-30  1.000205E-30  1.000352E-30  1.000375E-30
     24  5.520402925860E-05  1.000051E-30  1.000063E-30  1.000139E-30  1.000014E-30  1.000067E-30  1.000246E-30  1.000422E-30  1.000449E-30
     25  6.472551468226E-05  1.000060E-30  1.000074E-30  1.000163E-30  1.000017E-30  1.000079E-30  1.000288E-30  1.000494E-30  1.000527E-30
     26  7.459047774494E-05  1.000069E-30  1.000085E-30  1.000188E-30  1.000020E-30  1.000091E-30  1.000332E-30  1.000570E-30  1.000607E-30
